Node,Community,Connections
434,0,"248, 32, 4, 594, 650, 827, 982"
435,2,"19, 64, 67, 460, 495, 611, 628, 695, 749"
436,1,"9, 11, 12, 793"
437,1,"10, 15, 132"
438,0,"321, 105, 80, 571, 885"
439,0,"8, 314, 392, 752, 790"
440,0,"16, 337, 65"
441,2,"1, 58, 179, 909"
442,2,"153, 45, 334"
443,1,"9, 301, 127, 705, 804"
444,2,"108, 139, 3"
445,0,"215, 1, 116, 769"
446,0,"16, 90, 323, 745, 970"
447,1,"24, 96, 45, 947"
448,0,"378, 83, 221, 749, 787"
449,1,"137, 186, 34, 642"
450,1,"202, 58, 48, 939"
451,1,"40, 196, 360"
452,1,"363, 201, 247, 626, 836"
453,1,"81, 374, 227"
454,1,"369, 8, 94, 973"
455,0,"4, 262, 236"
456,1,"112, 58, 74, 483, 546"
457,1,"8, 322, 70, 514, 791"
458,0,"8, 100, 310, 854"
459,0,"25, 187, 66"
460,1,"74, 67, 435, 724, 937"
461,1,"24, 114, 91, 688, 709"
462,1,"1, 11, 316"
463,0,"25, 30, 9, 598, 677"
464,2,"89, 41, 384, 689, 715, 804, 857"
465,0,"48, 402, 372, 558"
466,2,"264, 33, 304, 790, 890"
467,2,"96, 327, 169, 698, 841"
468,2,"418, 185, 281, 601"
469,0,"115, 150, 324, 548, 700"
470,0,"90, 401, 381"
471,0,"240, 140, 10, 629, 762"
472,1,"24, 17, 20, 747, 963"
473,2,"43, 382, 131"
474,2,"9, 2, 302, 687, 983"
475,2,"25, 202, 214, 626"
476,2,"387, 130, 165, 678"
477,1,"81, 20, 112, 765"
478,0,"32, 8, 2, 581, 599, 982"
479,2,"329, 11, 131, 517"
480,2,"104, 180, 8, 595, 900, 966"
481,1,"9, 74, 230, 592, 869, 948"
482,0,"10, 319, 408, 496, 720, 767"
483,0,"112, 456, 11, 546, 957"
484,1,"90, 340, 313, 851, 912"
485,0,"19, 61, 142"
486,0,"11, 3, 1, 952"
487,1,"368, 153, 275, 732"
488,1,"48, 307, 60, 661, 943"
489,1,"25, 106, 1, 707, 758"
490,0,"18, 84, 285, 578"
491,1,"152, 10, 242"
492,2,"306, 78, 71, 880"
493,2,"8, 64, 25, 581, 582, 971"
494,2,"112, 148, 92"
495,2,"225, 9, 435"
496,2,"482, 408, 319"
497,2,"264, 112, 422, 765"
498,2,"90, 138, 394, 520, 861, 933"
499,1,"81, 338, 137, 875"
500,1,"49, 316, 20"
501,0,"59, 237, 4, 527, 736"
502,2,"33, 67, 94"
503,0,"354, 10, 100, 690"
504,2,"307, 108, 382, 624, 643, 988"
505,0,"120, 34, 146, 543, 951"
506,1,"265, 274, 28, 510, 730"
507,1,"272, 157, 29"
508,2,"305, 5, 95, 556, 623, 708, 923"
509,1,"306, 78, 40"
510,1,"506, 28, 20, 766"
511,0,"80, 29, 395"
512,1,"26, 405, 14, 932"
513,0,"48, 34, 187, 697"
514,1,"457, 70, 130, 791, 888"
515,1,"8, 202, 20"
516,0,"136, 417, 1, 745"
517,2,"479, 350, 289, 829"
518,2,"9, 107, 114"
519,1,"48, 420, 97"
520,2,"336, 498, 15"
521,2,"9, 431, 76, 859"
522,0,"64, 314, 61, 628, 644, 968"
523,2,"281, 185, 29, 622"
524,1,"337, 10, 37, 987"
525,2,"16, 4, 360, 640"
526,2,"16, 337, 130"
527,0,"2, 37, 501, 738"
528,0,"337, 177, 3, 590, 786"
529,1,"89, 11, 169, 540, 704"
530,0,"337, 3, 0, 969"
531,0,"162, 84, 247, 552, 654, 757"
532,2,"425, 126, 258, 587"
533,2,"10, 428, 347"
534,2,"84, 254, 143, 874"
535,0,"1, 22, 252"
536,0,"289, 161, 8"
537,0,"0, 209, 276"
538,1,"67, 173, 357, 755"
539,2,"83, 58, 4, 550, 691"
540,1,"89, 18, 529, 681"
541,2,"5, 86, 74, 631, 774"
542,1,"248, 178, 34, 763"
543,0,"146, 505, 139"
544,0,"416, 292, 274"
545,0,"267, 221, 100"
546,0,"456, 483, 25, 713"
547,0,"161, 58, 293"
548,0,"432, 115, 469, 585, 699, 772"
549,1,"213, 353, 48, 701, 850"
550,0,"9, 539, 58"
551,1,"8, 11, 289"
552,2,"247, 43, 531"
553,2,"57, 23, 394, 573, 593, 863, 955"
554,2,"8, 322, 187"
555,1,"221, 13, 271"
556,1,"5, 508, 221, 667, 923"
557,0,"232, 28, 25, 958"
558,2,"465, 402, 137, 815, 818, 969"
559,1,"32, 18, 409, 717, 744, 834"
560,2,"9, 106, 60"
561,0,"387, 292, 251, 724, 814"
562,1,"58, 83, 167, 895"
563,2,"120, 24, 13, 997"
564,2,"256, 19, 6"
565,1,"394, 90, 37"
566,0,"129, 166, 292"
567,0,"416, 11, 284, 597, 846, 954"
568,0,"123, 94, 427, 619, 974"
569,1,"2, 19, 92"
570,2,"144, 220, 100, 780, 985"
571,1,"321, 438, 25"
572,0,"25, 149, 290"
573,2,"553, 10, 106, 593, 653"
574,1,"1, 58, 246"
575,2,"415, 231, 47"
576,0,"89, 121, 147"
577,0,"8, 186, 11"
578,2,"104, 490, 13, 976"
579,1,"56, 315, 242, 652, 821, 924"
580,1,"123, 59, 422, 943"
581,0,"493, 133, 478"
582,0,"8, 493, 141"
583,1,"1, 53, 247, 704"
584,1,"18, 187, 25"
585,1,"432, 548, 392"
586,1,"209, 355, 18, 683, 797, 870"
587,1,"532, 420, 48"
588,2,"192, 28, 144"
589,0,"137, 189, 378, 781"
590,0,"528, 284, 422"
591,1,"162, 3, 205, 845, 976"
592,0,"9, 481, 405, 869"
593,2,"553, 394, 573, 653, 961"
594,1,"434, 4, 93, 737"
595,2,"104, 480, 170"
596,0,"8, 209, 246, 680"
597,2,"416, 11, 567"
598,1,"25, 238, 463, 913"
599,0,"32, 478, 130, 663, 794"
600,1,"33, 42, 25, 612, 991"
601,2,"281, 185, 468"
602,0,"113, 406, 217, 816, 928"
603,1,"137, 352, 189, 796, 853, 889"
604,1,"25, 393, 141"
605,0,"1, 365, 393"
606,1,"1, 255, 16, 896, 934"
607,2,"32, 362, 302"
608,2,"2, 389, 48, 609"
609,1,"608, 1, 417, 842, 975"
610,2,"220, 44, 11"
611,2,"435, 12, 161, 648, 814"
612,0,"328, 33, 600, 829"
613,1,"8, 1, 121"
614,1,"91, 11, 44, 980"
615,1,"8, 301, 115, 772"
616,2,"113, 100, 144, 617, 876"
617,2,"616, 113, 67, 876, 891"
618,1,"89, 362, 67, 662, 770"
619,1,"568, 123, 81, 807, 877, 974"
620,2,"233, 29, 97, 630, 670, 922"
621,1,"110, 64, 300"
622,2,"281, 29, 523"
623,1,"137, 508, 191, 853"
624,0,"504, 108, 382"
625,2,"282, 214, 407, 904"
626,0,"475, 214, 452, 925"
627,1,"1, 113, 270"
628,0,"64, 522, 435, 871"
629,2,"10, 471, 380, 824, 902"
630,2,"233, 32, 620, 810"
631,1,"74, 541, 251, 671, 856"
632,2,"44, 219, 189"
633,0,"368, 43, 6"
634,0,"16, 360, 29, 740, 803"
635,2,"64, 397, 118"
636,1,"81, 34, 2"
637,0,"117, 36, 101"
638,0,"19, 253, 9"
639,2,"8, 9, 388"
640,2,"525, 16, 228, 957"
641,1,"11, 59, 235, 864, 962, 980"
642,2,"16, 449, 34, 667"
643,0,"504, 382, 108, 988"
644,1,"64, 522, 37"
645,2,"40, 53, 190, 773"
646,0,"360, 314, 176, 999"
647,1,"386, 147, 22, 666"
648,0,"161, 611, 9"
649,0,"56, 18, 1, 725, 748"
650,0,"16, 434, 379, 775, 827"
651,0,"64, 307, 221"
652,2,"315, 102, 579"
653,1,"392, 593, 573"
654,2,"280, 378, 531"
655,1,"129, 250, 126, 673"
656,2,"8, 130, 5, 741"
657,2,"0, 291, 383, 718, 923"
658,2,"377, 265, 16"
659,2,"48, 162, 58, 743"
660,0,"306, 40, 243"
661,2,"488, 313, 378"
662,1,"232, 618, 239"
663,0,"32, 599, 43, 812, 881"
664,0,"242, 379, 325, 750, 783"
665,1,"82, 2, 148"
666,0,"112, 147, 647"
667,2,"642, 556, 285"
668,0,"11, 252, 286"
669,0,"11, 395, 33"
670,0,"620, 233, 97"
671,0,"74, 67, 631"
672,2,"16, 43, 11, 720"
673,1,"250, 655, 205, 848"
674,0,"48, 244, 106, 737, 847, 931"
675,1,"25, 364, 108"
676,2,"106, 27, 133"
677,1,"9, 253, 463"
678,1,"108, 1, 476"
679,0,"226, 11, 214"
680,0,"1, 414, 596, 744"
681,0,"184, 123, 540"
682,0,"152, 288, 77, 842"
683,2,"34, 13, 586, 937"
684,0,"48, 60, 388"
685,2,"8, 224, 393, 819"
686,0,"147, 357, 256, 891"
687,0,"80, 474, 9"
688,1,"24, 461, 114, 709, 825"
689,1,"464, 30, 71"
690,2,"8, 74, 503, 948"
691,2,"129, 320, 539, 893"
692,2,"129, 180, 260"
693,2,"202, 74, 153, 918"
694,1,"352, 65, 114"
695,1,"64, 435, 233, 921"
696,0,"51, 95, 3, 742"
697,1,"513, 48, 187"
698,2,"169, 467, 202"
699,1,"203, 124, 548"
700,2,"53, 19, 469"
701,0,"426, 113, 549, 850"
702,2,"200, 32, 184, 819"
703,1,"282, 260, 34"
704,2,"529, 423, 583"
705,2,"24, 43, 443, 804"
706,2,"51, 123, 148"
707,1,"106, 373, 489, 855"
708,2,"237, 8, 508"
709,2,"688, 24, 461, 825"
710,2,"170, 20, 34, 754, 883"
711,0,"9, 178, 13"
712,1,"18, 335, 9"
713,2,"25, 546, 20, 794"
714,0,"25, 67, 92, 808, 828"
715,1,"464, 41, 384, 857"
716,0,"8, 394, 359"
717,0,"32, 559, 282"
718,2,"291, 0, 657"
719,0,"128, 48, 130, 933"
720,2,"672, 16, 482, 834"
721,0,"384, 35, 41, 834"
722,2,"32, 242, 167"
723,1,"160, 315, 48"
724,0,"561, 460, 1"
725,0,"649, 10, 107"
726,2,"256, 367, 125"
727,1,"48, 405, 25, 931"
728,0,"106, 11, 226"
729,2,"8, 272, 64, 967"
730,0,"265, 119, 506"
731,1,"184, 200, 389"
732,1,"432, 153, 487"
733,1,"130, 147, 174"
734,0,"0, 4, 184"
735,0,"249, 11"
736,1,"501, 4, 414"
737,2,"674, 594, 165"
738,2,"120, 130, 527"
739,2,"289, 147, 343"
740,1,"9, 22, 634"
741,2,"656, 245, 100"
742,0,"329, 95, 696"
743,0,"58, 659, 48"
744,0,"680, 32, 559"
745,0,"136, 516, 446"
746,1,"32, 8, 233"
747,1,"20, 472, 245"
748,0,"1, 649, 170, 777"
749,1,"448, 435, 67"
750,1,"664, 234, 4"
751,1,"65, 27, 402"
752,0,"392, 439, 19, 770, 778, 790, 914, 978, 989"
753,2,"345, 26, 88, 761"
754,1,"170, 710, 20"
755,0,"538, 75, 227"
756,2,"249, 34, 30, 784"
757,1,"531, 11, 180"
758,2,"352, 1, 489"
759,2,"0, 104, 61"
760,0,"192, 25, 64, 932"
761,1,"88, 753, 10, 878"
762,1,"24, 276, 471"
763,0,"178, 16, 542"
764,2,"144, 310, 42"
765,1,"112, 497, 477"
766,0,"28, 510, 20, 851"
767,2,"0, 482, 10"
768,2,"210, 53, 10, 951"
769,1,"233, 445, 116, 888, 926"
770,2,"392, 752, 618"
771,1,"296, 53, 83"
772,0,"115, 548, 615"
773,0,"53, 645, 30"
774,0,"428, 151, 541"
775,0,"379, 650, 22"
776,1,"56, 314, 32, 792, 795"
777,1,"33, 87, 748"
778,0,"752, 179, 43, 903, 914, 930, 989"
779,2,"8, 367, 40"
780,1,"108, 570, 20"
781,0,"18, 589, 378"
782,1,"283, 37, 286, 935"
783,2,"664, 242, 195"
784,0,"756, 30, 174"
785,1,"194, 372, 1, 832, 881"
786,2,"177, 423, 528"
787,0,"448, 378, 221"
788,2,"58, 19, 163"
789,1,"80, 207, 8"
790,2,"752, 439, 466"
791,2,"514, 130, 457"
792,0,"776, 3, 286"
793,2,"8, 436, 60"
794,2,"713, 74, 599"
795,2,"776, 28, 13"
796,1,"108, 189, 603, 889"
797,2,"209, 107, 586, 870"
798,1,"9, 183, 363"
799,0,"313, 20, 130"
800,2,"321, 83, 11, 925"
801,0,"9, 164, 47, 891"
802,2,"267, 44, 83"
803,2,"16, 156, 634"
804,1,"464, 705, 443"
805,1,"399, 379, 378"
806,0,"418, 99, 233"
807,0,"81, 619, 338"
808,2,"9, 714, 92, 828, 831, 901"
809,0,"264, 58, 323"
810,2,"2, 283, 630, 956, 977"
811,1,"54, 20, 34"
812,1,"3, 43, 663"
813,2,"16, 185, 161, 857"
814,0,"123, 561, 611"
815,2,"80, 558, 110"
816,1,"40, 113, 602"
817,0,"19, 400, 292, 945"
818,2,"113, 277, 558"
819,1,"184, 702, 685"
820,1,"1, 58, 151"
821,2,"579, 197, 350"
822,0,"9, 43, 197"
823,0,"11, 19, 332"
824,1,"10, 629, 25"
825,2,"688, 709, 114"
826,1,"26, 163, 261"
827,1,"650, 379, 434"
828,0,"808, 9, 714"
829,0,"350, 517, 612"
830,0,"3, 251, 131, 831, 922"
831,1,"808, 830, 3, 845"
832,0,"194, 785, 372, 833"
833,0,"1, 372, 832"
834,0,"720, 721, 559"
835,2,"297, 3, 116, 840, 997"
836,1,"201, 452, 228"
837,1,"10, 82, 165"
838,0,"266, 10, 26"
839,1,"194, 372, 1"
840,1,"297, 835, 123, 892"
841,0,"467, 76, 278"
842,0,"1, 609, 682"
843,2,"24, 114, 372"
844,2,"242, 28, 6, 913"
845,1,"3, 831, 591, 976"
846,1,"416, 567, 139"
847,0,"48, 674, 410"
848,0,"408, 673, 358"
849,0,"116, 61, 286"
850,0,"1, 701, 549"
851,1,"196, 484, 766"
852,1,"26, 124, 213"
853,0,"137, 623, 603"
854,0,"1, 458, 405"
855,1,"56, 9, 707"
856,2,"32, 74, 631"
857,1,"464, 715, 813, 882"
858,2,"9, 297, 234, 887"
859,0,"521, 9, 431"
860,0,"48, 277, 25"
861,2,"498, 68, 8, 973"
862,1,"200, 81, 25"
863,1,"1, 37, 553"
864,1,"11, 641, 53"
865,1,"48, 123, 1"
866,0,"393, 290, 323, 984"
867,2,"32, 33, 142"
868,1,"33, 76, 20"
869,1,"592, 481, 11"
870,2,"586, 18, 797"
871,0,"64, 628, 385"
872,0,"9, 333, 19"
873,0,"48, 10, 147"
874,2,"143, 534, 22"
875,0,"137, 353, 499"
876,1,"616, 617, 10"
877,2,"81, 619, 193, 938"
878,2,"32, 761, 170"
879,1,"129, 229, 154"
880,1,"265, 492, 78"
881,0,"785, 34, 663"
882,0,"857, 17, 311"
883,1,"72, 203, 710, 924"
884,2,"8, 115, 224"
885,0,"80, 18, 438"
886,1,"24, 300, 381"
887,1,"80, 234, 858"
888,2,"769, 130, 514"
889,1,"233, 796, 603"
890,0,"466, 264, 304"
891,1,"801, 686, 617"
892,2,"840, 386, 61"
893,0,"691, 129, 320"
894,0,"385, 407, 202, 918"
895,2,"328, 58, 562"
896,1,"34, 3, 606"
897,0,"173, 32, 294, 965"
898,0,"136, 49, 187, 919"
899,1,"232, 197, 59"
900,1,"480, 180, 317"
901,2,"808, 28, 119"
902,2,"380, 629, 257"
903,1,"210, 53, 778"
904,0,"282, 625, 214"
905,1,"112, 186, 137"
906,1,"187, 10, 25"
907,0,"56, 325, 303"
908,2,"1, 10, 9"
909,0,"441, 306, 424, 912"
910,1,"328, 237, 202"
911,2,"388, 120, 182"
912,0,"424, 909, 484"
913,1,"347, 844, 598"
914,0,"352, 752, 778"
915,2,"2, 174, 429, 936, 968"
916,0,"56, 122, 28"
917,1,"420, 48, 391"
918,1,"202, 693, 894"
919,2,"136, 10, 898"
920,1,"192, 25, 49, 939"
921,2,"64, 110, 695"
922,2,"830, 3, 620"
923,2,"657, 556, 508"
924,0,"56, 579, 883"
925,2,"800, 153, 626"
926,1,"769, 233, 106"
927,0,"73, 121, 45"
928,0,"602, 217, 19"
929,1,"59, 179, 197"
930,0,"16, 262, 778"
931,0,"674, 373, 727"
932,2,"760, 512, 14"
933,0,"128, 719, 498"
934,2,"48, 74, 606"
935,1,"370, 782, 286"
936,0,"25, 429, 915"
937,2,"683, 13, 460"
938,1,"193, 877, 147"
939,0,"48, 450, 920"
940,1,"8, 2, 305"
941,1,"136, 318, 8"
942,0,"136, 10, 410"
943,0,"488, 307, 580"
944,2,"33, 314, 319"
945,2,"193, 292, 817"
946,2,"90, 2, 419"
947,1,"447, 287, 23"
948,0,"481, 690, 8"
949,0,"216, 24, 5"
950,1,"10, 292, 406"
951,2,"296, 768, 505"
952,1,"73, 16, 486"
953,2,"112, 8, 102"
954,2,"29, 567, 47"
955,1,"48, 60, 553"
956,2,"810, 283, 284, 977"
957,1,"640, 34, 483"
958,2,"83, 11, 557"
959,0,"33, 20, 286"
960,1,"130, 117, 7"
961,0,"593, 25, 10"
962,1,"86, 11, 641, 996"
963,1,"472, 16, 172"
964,0,"9, 226, 213"
965,0,"32, 897, 345"
966,2,"0, 480, 8"
967,0,"432, 729, 272"
968,1,"522, 2, 915"
969,1,"530, 558, 278"
970,2,"8, 313, 446"
971,2,"25, 493, 11"
972,2,"161, 9, 4"
973,0,"861, 8, 454"
974,0,"568, 619, 123"
975,1,"56, 18, 609, 978, 990"
976,2,"578, 845, 591"
977,1,"221, 956, 810"
978,2,"752, 18, 975"
979,2,"8, 388, 294"
980,2,"641, 614, 44"
981,2,"121, 27, 179"
982,0,"32, 434, 478"
983,2,"302, 474, 267"
984,2,"290, 866, 13"
985,2,"33, 570, 357"
986,2,"1, 155, 48"
987,1,"48, 137, 524"
988,1,"504, 382, 643"
989,2,"778, 752, 11"
990,2,"18, 975, 379"
991,2,"600, 195, 326"
992,2,"90, 236, 9"
993,1,"216, 353, 48"
994,0,"192, 1, 195"
995,0,"8, 1, 311"
996,0,"81, 11, 962"
997,1,"120, 563, 835"
998,1,"145, 286, 18"
999,2,"176, 646, 360"
